Operation Id,Auction Status,Operation Date,Settlement Date,Maturity Date,Operation Type,Operation Method,Settlement Type,Term (Calendar Days),Term,Release Time,Close Time,Note,Operation Limit ($Billions),Participating Counterparties,Accepted Counterparties,Tsy Amt Submitted ($Billions),Tsy Amt Accepted ($Billions),Tsy Minimum Bid Rate(%),Tsy Maximum Bid Rate(%),Tsy Offering Rate(%),Tsy Stop-Out Rate(%),Tsy Award Rate (%),Tsy Weighted Average Rate (%),Tsy High Rate (%),Tsy Low Rate (%),Tsy Amt At Stop-Out (%),Agy Amt Submitted ($Billions),Agy Amt Accepted ($Billions),Agy Minimum Bid Rate(%),Agy Maximum Bid Rate(%),Agy Offering Rate(%),Agy Stop-Out Rate(%),Agy Award Rate (%),Agy Weighted Average Rate (%),Agy High Rate (%),Agy Low Rate (%),Agy Amt At Stop-Out (%),Mbs Amt Submitted ($Billions),Mbs Amt Accepted ($Billions),Mbs Minimum Bid Rate(%),Mbs Maximum Bid Rate(%),Mbs Offering Rate(%),Mbs Stop-Out Rate(%),Mbs Award Rate (%),Mbs Weighted Average Rate (%),Mbs High Rate (%),Mbs Low Rate (%),Mbs Amt At Stop-Out (%),Oth Amt Submitted ($Billions),Oth Amt Accepted ($Billions),Oth Minimum Bid Rate(%),Oth Maximum Bid Rate(%),Oth Offering Rate(%),Oth Stop-Out Rate(%),Oth Award Rate (%),Oth Weighted Average Rate (%),Oth High Rate (%),Oth Low Rate (%),Oth Amt At Stop-Out (%),Total Amt Submitted ($Billions),Total Amt Accepted ($Billions),Last Updated,Bank Prop Amt Accepted ($Billions),GSE Prop Amt Accepted ($Billions),MMF Prop Amt Accepted ($Billions),PD Prop Amt Accepted ($Billions),Total Tsy Settle Amt Accepted ($Billions),Total Mbs Settle Amt Accepted ($Billions),Total Agy Settle Amt Accepted ($Billions),Total US Dollar Settle Amt Accepted ($Billions)
RP 030725 2,Results,03-07-2025,03-07-2025,03-10-2025,Repo,Multiple Price,Same Day,3,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,03-07-2025 13.45,,,,,,,,
RP 030625 2,Results,03-06-2025,03-06-2025,03-07-2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,03-06-2025 13.45,,,,,,,,
RP 030525 4,Results,03-05-2025,03-05-2025,03-06-2025,Repo,Multiple Price,Same Day,1,Overnight,8.15 AM,8.30 AM,This operation is an early settling overnight repo small value exercise (SVE); the daily SRF operation will still take place at its regularly scheduled time (1:30pm ET).,0.25,,,0.036,0.036,4.5,,,4.5,,4.5,4.5,4.5,,0.017,0.017,4.5,,,4.5,,4.5,4.5,4.5,,0.031,0.031,4.5,,,4.5,,4.5,4.5,4.5,,,,,,,,,,,,,0.084,0.084,03-05-2025 8.32,,,,,,,,
RP 030525 6,Results,03-05-2025,03-05-2025,03-06-2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,03-05-2025 13.45,,,,,,,,
RP 030425 2,Results,03-04-2025,03-04-2025,03-05-2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,03-04-2025 13.45,,,,,,,,
RP 030325 2,Results,03-03-2025,03-03-2025,03-04-2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,03-03-2025 13.45,,,,,,,,
RP 022825 2,Results,02/28/2025,02/28/2025,03-03-2025,Repo,Multiple Price,Same Day,3,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,02/28/2025 13:45:34,,,,,,,,
RP 022725 2,Results,02/27/2025,02/27/2025,02/28/2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,02/27/2025 13:45:32,,,,,,,,
RP 022625 99,Results,02/26/2025,02/26/2025,02/27/2025,Repo,Multiple Price,Same Day,1,Overnight,10.00 AM,10.15 AM,This is a small value exercise for operational readiness testing.  The regular SRF operation will take place at its regularly scheduled time (1:30 PM ET).,0.25,,,0.048,0.048,,,,4.5,,4.5,4.5,4.5,,0.015,0.015,,,,4.5,,4.5,4.5,4.5,,0.031,0.031,,,,4.5,,4.5,4.5,4.5,,,,,,,,,,,,,0.094,0.094,02/26/2025 10:29:00,,,,,,,,
RP 022625 2,Results,02/26/2025,02/26/2025,02/27/2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0.001,0.001,4.5,,,4.5,,4.5,4.5,4.5,,0.001,0.001,4.5,,,4.5,,4.5,4.5,4.5,,0.001,0.001,4.5,,,4.5,,4.5,4.5,4.5,,,,,,,,,,,,,0.003,0.003,02/26/2025 13:45:46,,,,,,,,
RP 022525 2,Results,02/25/2025,02/25/2025,02/26/2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0.001,0.001,4.5,,,4.5,,4.5,4.5,4.5,,0.001,0.001,4.5,,,4.5,,4.5,4.5,4.5,,0.001,0.001,4.5,,,4.5,,4.5,4.5,4.5,,,,,,,,,,,,,0.003,0.003,02/25/2025 13:45:39,,,,,,,,
RP 022425 2,Results,02/24/2025,02/24/2025,02/25/2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,02/24/2025 13:45:38,,,,,,,,
RP 022125 2,Results,02/21/2025,02/21/2025,02/24/2025,Repo,Multiple Price,Same Day,3,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,02/21/2025 13:45:50,,,,,,,,
RP 022025 2,Results,02/20/2025,02/20/2025,02/21/2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,02/20/2025 13:45:54,,,,,,,,
RP 021925 2,Results,02/19/2025,02/19/2025,02/20/2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,02/19/2025 13:45:54,,,,,,,,
RP 021825 2,Results,02/18/2025,02/18/2025,02/19/2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,02/18/2025 13:45:45,,,,,,,,
RP 021425 2,Results,02/14/2025,02/14/2025,02/18/2025,Repo,Multiple Price,Same Day,4,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,02/14/2025 13:45:46,,,,,,,,
RP 021325 2,Results,02/13/2025,02/13/2025,02/14/2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,02/13/2025 13:45:36,,,,,,,,
RP 021225 2,Results,02-12-2025,02-12-2025,02/13/2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0.1,0.1,4.5,,,4.5,,4.5,4.5,4.5,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0.1,0.1,02-12-2025 13.46,,,,,,,,
RP 021125 2,Results,02-11-2025,02-11-2025,02-12-2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0.1,0.1,4.5,,,4.5,,4.5,4.5,4.5,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0.1,0.1,02-11-2025 13.45,,,,,,,,
RP 021025 2,Results,02-10-2025,02-10-2025,02-11-2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,02-10-2025 13.45,,,,,,,,
RP 020725 2,Results,02-07-2025,02-07-2025,02-10-2025,Repo,Multiple Price,Same Day,3,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,02-07-2025 13.45,,,,,,,,
RP 020625 2,Results,02-06-2025,02-06-2025,02-07-2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0.001,0.001,4.5,,,4.5,,4.5,4.5,4.5,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0.001,0.001,02-06-2025 13.45,,,,,,,,
RP 020525 2,Results,02-05-2025,02-05-2025,02-06-2025,Repo,Multiple Price,Same Day,1,Overnight,1.30 PM,1.45 PM,,500,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,0,0,4.5,,,,,,,,,,,,,,,,,,,,0,0,02-05-2025 13.45,,,,,,,,
